,정류장이름,정류장ID,위도,경도
1189,득룡교,JUB311101444,35.87545851,127.00516569
1190,득자마을,JUB311101464,35.87678825,126.99889135
1191,득자마을,JUB311101466,35.87693501,126.99907499
1192,난산초교,JUB311101468,35.87709627,126.99608171
1193,난산초교,JUB311101470,35.87732774,126.99593339
1194,부용,JUB311101475,35.87763574,126.95068055
1195,부용,JUB311101477,35.8777075,126.95046527
1196,농식품인력개발원,JUB311101479,35.87777917,126.98660066
1197,농식품인력개발원,JUB311101482,35.87793695,126.98614648
1198,농원,JUB311101530,35.88430172,126.95913611
1199,농원,JUB311101533,35.88443408,126.95896395
1200,백구,JUB311101573,35.89038737,126.96995518
1201,백구,JUB311101575,35.89050602,126.9701521
1202,농원삼거리,JUB312003212,35.83489769,127.02406364
1203,대덕경로당,JUB312032064,35.66154768,127.10910251
1204,대덕경로당,JUB312032065,35.6615761,127.10928995
1205,구사마을,JUB312032071,35.85328123,127.03034143
1206,신흥리,JUB312032085,35.7983161,127.0830408
1207,삼산마을,JUB312032086,35.8060261,127.0756479
1208,전주가족랜드,JUB312032087,35.80813399,127.07359812
1209,전주가족랜드,JUB312032088,35.80715618,127.07427372
1210,삼산마을,JUB312032089,35.8058951,127.0755822
1211,신흥리,JUB312032090,35.7982481,127.0829305
1212,안산마을.삼천동종점,JUB312032092,35.80119547,127.08008306
1213,만성초등학교,JUB312032093,35.83692619,127.06468753
1214,혁신호반1차아파트,JUB312032094,35.83694249,127.06446596
1215,농소전원마을,JUB312032097,35.81865221,127.09899594
1216,농소전원마을,JUB312032098,35.8189421,127.09919185
1217,혁신이노힐스아파트,JUB312032112,35.83775413,127.05564147
1218,혁신이노힐스아파트,JUB312032113,35.83757232,127.05544438
1219,해교리,JUB312032115,35.83256006,127.01579948
1220,지방자치인재개발원,JUB312032116,35.83296805,127.02486991
1221,지방자치인재개발원,JUB312032117,35.83291129,127.02453856
1222,농촌진흥청오공공원,JUB312032118,35.83286486,127.05724821
1223,오공공원,JUB312032119,35.83313453,127.05715647
1224,농원삼거리,JUB312032123,35.83462697,127.02402268
1225,혁신에코르3단지,JUB312032124,35.82772458,127.02444015
1226,혁신에코르3단지,JUB312032125,35.82776207,127.02461677
1227,혁신에코르2단지정문,JUB312032126,35.8282711,127.0210619
1228,혁신에코르2단지정문,JUB312032127,35.8283798,127.021172
1229,원반교,JUB312032128,35.8371759,127.0232096
1230,우미린2차아파트,JUB312032129,35.8458,127.0576893
1231,우미린2차아파트,JUB312032130,35.8456518,127.0578618
1232,양동마을,JUB312032131,35.84343424,127.05466606
1233,양동마을,JUB312032132,35.84359367,127.05430995
1234,혁신에코르1단지,JUB312032133,35.84162048,127.05324857
1235,혁신에코르1단지,JUB312032134,35.84156868,127.05353699
1236,혁신이노힐스아파트후문,JUB312032135,35.83889167,127.05237334
1237,혁신이노힐스아파트후문,JUB312032136,35.83912651,127.05243696
1238,혁신농협지점사거리,JUB312032137,35.83831895,127.05740506
1239,혁신농협지점사거리,JUB312032138,35.83853584,127.05747997
1240,혁신도시상가,JUB312032139,35.83801906,127.05831662
1241,혁신도시상가,JUB312032140,35.83798561,127.05864908
1242,온빛초등학교,JUB312032141,35.84257278,127.05744365
1243,온빛중학교,JUB312032142,35.84277261,127.05764054
1244,한일고,JUB312032143,35.83086462,127.12261048
1245,황제식품,JUB312032145,35.90540524,127.18461232
1246,황제식품,JUB312032146,35.90529574,127.18441404
1247,정동마을,JUB312032161,35.94893902,127.14610764
1248,중리,JUB312032162,35.85760965,127.29483809
1249,중리,JUB312032163,35.85766334,127.29477119
1250,율곡,JUB312032164,35.84771254,127.21327336
1251,율곡,JUB312032165,35.84759487,127.21319703
1252,갈전,JUB312032166,35.84511266,127.21540233
1253,갈전,JUB312032167,35.8450756,127.21524772
1254,태실마을,JUB312032168,35.74409607,127.14677642
1255,태실마을,JUB312032169,35.74398831,127.14683285
1256,정동마을,JUB312032170,35.94870281,127.14584416
1257,서정마을,JUB312032171,35.94689023,127.14697208
1258,서정마을,JUB312032172,35.94721309,127.14674693
1259,한국전기안전공사,JUB312032173,35.8347196,127.05551065
1260,한국전기안전공사,JUB312032174,35.83473953,127.05575392
1261,혁신상가네거리,JUB312032175,35.83591826,127.05894983
1262,혁신상가네거리,JUB312032176,35.83615396,127.05912414
1263,대방빌딩,JUB312032177,35.83842258,127.06108976
1264,호반더센트럴,JUB312032178,35.83862137,127.06115383
1265,엘에스엠트론기술교육아카데미,JUB312032187,35.95407774,127.14802702
1266,엘에스엠트론기술교육아카데미,JUB312032188,35.95431521,127.14846788
1267,추동마을입구,JUB312032189,35.95132603,127.15264527
1268,추동마을입구,JUB312032190,35.95156098,127.15273144
1269,은하교,JUB312032191,35.94636873,127.15910514
1270,은하교,JUB312032192,35.94554302,127.15960158
1271,플라즈마연구센터,JUB312032193,35.95937433,127.1351189
1272,백제대원룸단지,JUB312032194,35.99298003,127.12243784
1273,백제대원룸단지,JUB312032195,35.99302858,127.12168314
1274,백제대입구,JUB312032196,35.98481421,127.11749369
1275,백제대입구,JUB312032197,35.98484455,127.1167171
1276,만동,JUB312032198,35.98063526,127.12035677
1277,만동,JUB312032199,35.98063754,127.12066723
1278,난산삼거리,JUB312032201,35.87778259,126.99593271
1279,비봉파출소,JUB312032202,35.99652724,127.13778114
1280,비봉파출소,JUB312032203,35.99660045,127.13793562
1281,공술마을,JUB312032204,35.88115799,126.97936655
1282,공술마을,JUB312032205,35.88103051,126.97921314
